"Titel";"ISBN";"Verfasser";"PPN";"Jahr" 
"Und plötzlich sind sie flügge : wie es Müttern geht, wenn die Kinder das Haus verlassen";"3451047241";"Shelly Bovey";"1608588297";"2000";
"Alle Sinne sind schon wach : Schmuse-, Kuschel- und Bewegungsspiele für die Kleinsten";"3451048442";"Brigitte Wilmes-Mielenhausen";"318298910";"2000";
"25 Jahre Erziehungswissenschaftlich-Fachdidaktisches Kolloquium";"";"Pädagogische Hochschule Freiburg. Beitr. von Rudolf Denk ... Mit e. Vorwort von Rektor Wolfgang Schwark";"1153286920";"2000";
"Terra Erdkunde S II - Räume und Strukturen. - [Hauptbd.].";"3124092511";"";"1153351463";"2000";
"Marketing für politische Bildung : Arbeitshilfen für die politische Bildung";"3879200564";"Helle Becker";"312017375";"2000";
"Fasting, feasting";"0618065822";"Anita Desai";"1608936538";"2000";
"¬The¬ international handbook on school effectiveness research";"0750706074";"Charles Teddlie; David Reynolds";"30955540X";"2000";
"Nähen im Landhausstil : einfache Ideen für drinnen und draußen";"3804307817";"Monika Löhnert. [Fotogr.: Klaus Lipa]";"308315073";"2000";
"Language - mobility - identity : contemporary issues for adult education in Europe";"3825843645";"Agnieszka Bron; Michael Schemmann (Hrsg.)";"115358574X";"2000";
"Kannst du mit dem Herzen sehen? : Mit Kindern die Herzintelligenz entdecken ; 77 Spiele";"3932098633";"Doc Childre. Unter Mitarb. von Sara Hatch Paddison ... [Übers.: Elisabeth Lippmann]";"312015771";"2000";
"Wildbiologische Wahrheiten : ein Buch für Jäger, Naturinteressierte und Lehrer";"3898117022";"Matthias Riemer";"312034903";"2000";
"Talk for two : short pair work activities; everyday English general and professional contexts. - 1. Elementary";"2-912460-16-6";"C. Douglas Billet";"1153708043";"2000";
"Learning English - Red line new : Unterrichtswerk für Realschulen. - 6, [Schülerbuch].";"3125464609";"von Stephanie Ashford ...";"1153747790";"2000";
"¬Das¬ grosse Buch vom Fahrrad";"3-87073-261-X";"Dan Joyce; Carlton Reid; Paul Vincent. [Übers. aus dem Engl.: Michael Bollschweiler]";"312022557";"2000";
"Vom ökologischen Lernen zur Bildung für eine nachhaltige Entwicklung";"3934005446";"Gerhard Becker. [Hrsg. vom Forschungs- und Entwicklungsprojekt Natur und Umweltbildung in der Stadt Osnabrück (NUSO)]";"1609352882";"2000";
"Zukunftsfähigkeit durch Weiterbildung in Europa = Ability to meet future challenges through continuing education : Dokumentation der Veranstaltung vom 16. - 18. Mai 1999, Schloss Waldthausen bei Mainz";"3933222389";"hrsg. vom Deutschen Institut für Erwachsenenbildung im Auftr. des Bundesministeriums für Bildung und Forschung und der Ständigen Konferenz der Kultusminister der Länder, Ausschuss für Fort- und Weiterbildung. [Red.: Liana Druckenmüller]";"312039379";"2000";
"Zola, L'assommoir";"2-7298-6915-8";"par Jean-Pierre Damour";"1609671260";"2000";
"Dieu est-il encore français? : La France vue par un Allemand";"2226109676";"Klaus Harpprecht. Préf. de Joseph Rovan. Trad. de l'allemand par Bernd Kreiss";"32005229X";"2000";
"Abi-Training Mathematik : methodische Arbeitsschritte und Übungsklausuren";"3129292330";"von Harald Scheid";"160975297X";"2000";
"Frankreichs Süden : im Bannkreis der Pyrenäen ; auf dem Jakobsweg durch das Languedoc, das Roussillon und die Gascogne";"3791323563";"Helmut Domke";"312052626";"2000";
"Provence";"3791323547";"Helmut Domke";"312052723";"2000";
"Dewey's empirical theory of knowledge and reality";"082651362X";"John R. Shook";"300486898";"2000";
"HomoSuperSapiens : hochbegabte Kinder in der Grundschule erkennen und fördern. - Buch.";"";"";"1154339610";"2000";
"Milo und die Jagd nach dem grünhaarigen Mädchen";"3446198210";"Rudolf Herfurtner";"31090286X";"2000";
"¬The¬ complete stories";"0704346532";"Alice Walker";"1609982975";"2000";
"Prävention von Konflikteskalation in der Praxis : die OSZE-Langzeitmission als erfolgreiches Instrument der Prävention?";"3924154899";"Volker Ruof";"1154491277";"2000";
"Taschenlexikon Päpste";"3492230423";"Reinhard Barth; Friedemann Bedürftig";"313553912";"2000";
"Betreuung : Umgang mit Menschen ; Fachtheorie + Fachpraxis";"3582048314";"von Enne Freese, Almuth Janssen, Alma Morgenstern";"308433858";"2000";
"Pädagogische Überlegungen zum Technischen Zeichnen im Technikunterricht der allgemeinbildenden Schulen";"";"von Andreas Marx";"1154661245";"2000";
"¬Der¬ Mozart in uns : the inner game of music oder eine Anleitung zum Musizieren";"3729400843";"Barry Green; W. Timothy Gallwey";"1610215729";"2000";
"Schwierigkeiten beim Erwerb mathematischer Konzepte im Anfangsunterricht : Bericht zum Forschungsprojekt Rechenschwäche erkennen, beheben, vorbeugen";"";"von Hans-Dieter Gerster und Rita Schultz";"1154781941";"2000";
"Mathe-Tuning : Aufgabensammlung für das ... Schuljahr. - 6. 1. Aufl";"3-403-03187-X";"Karlheinz Klotz";"1154790010";"2000";
"Acrylmalerei : die künstlerischen Techniken";"3473484083";"Thomas Hoppe";"312071426";"2000";
"Fara und Fu : die Fibel mit dem Schlüsselwortverfahren. - Schreibubungsheft von der Druckschrift zur Lateinischen Ausgangsschrift.";"3507403064";"";"115482389X";"2000";
"¬Le¬ raï";"2290300926";"Bouziane Daoudi";"322644089";"2000";
"Anschauungsmaterial im Arithmetikunterricht des 1. Schuljahres";"";"Elvira Stuber";"1154860213";"2000";
"Katharina von Bora, die Lutherin : ein Beitrag zu frauenspezifischen Themen im Religionsunterricht";"";"Mirjam Meier";"1154868370";"2000";
"Literatur und ihre Umsetzung mit bildnerischen Mitteln in der Kunst : der semiotische Zusammenhang zwischen Texten und Illustrationen und ihre Vermittlung in der Schule";"";"Helga Yahja";"1154876136";"2000";
"Tai Chi Chuan als eine ganzheitliche Methode des körperorientierten Lernens";"";"Tsui-Chuan Huang";"1154893197";"2000";
"Erlebbare Abenteuerwelten hinter dem Horizont : Erlebnispädagogik in der Kinder- und Jugendarbeit";"";"Maren Hamann";"1154893308";"2000";
"Wörter - Bilder - Situationen : zu 20 Sachfeldern für die Grundstufe Deutsch als Fremdsprache";"3-468-49993-0";"von Walter Lohfert u. Theo Scherling";"326689699";"2000";
"Vierzig Jahre Weltkriegsforschung : Vortrag anläßlich der Verleihung der Ehrendoktorwürde in Lüneburg am 8. Oktober 1999";"3934900003";"Fritz Klein";"312082266";"2000";
"¬Der¬ Lernprozeß 'Christen - Muslime' im interreligiösen Dialog";"";"Bettina Schwerthöffer";"1154919668";"2000";
"Berlie Doherty - Dear nobody : teacher's guide";"3125781310";"by Mechthild Hesse and Britta Putjenter";"1610557484";"2000";
"Rechnen mit Spaß - Rätsel und Knobeleien : 3. Schuljahr; [dieses Werk folgt der reformierten Rechtschreibung und Zeichensetzung]";"3129296719";"";"1610654137";"2000";
"¬Ein¬ Brüderchen für Lili : eine Geschichte";"3451702843";"von Karin Gündisch. Mit Bildern von Betina Gotzen-Beek";"31507289X";"2000";
"Übungen zur Transaktionsanalyse : Praxis der Transaktionsanalyse in Beruf und Organisationen";"3922789293";"Rolf Rüttinger; Reinhold Kruppa";"1610683358";"2000";
"In der Falle des Kurzzeitdenkens";"3492230598";"Irenäus Eibl-Eibesfeldt";"316037176";"2000";
"Étude sur Zola et le roman";"2-7298-6905-0";"Maryse Adam-Maillet";"1610768906";"2000";
"Étude sur le roman naturaliste";"2729869042";"par Robert Benet";"1610769155";"2000";
"Étude sur Marivaux, Le jeu de l'amour et du hasard";"2729849696";"par Jean-Pierre Perchellet";"720569621";"2000";
"Étude sur Tahar Ben Jalloun, L'enfant de sable, La nuit sacrée";"2-7298-5939-X";"par Laurence Kohn-Pireaux";"1610772407";"2000";
"Étude sur Beaumarchais, Le barbier de Seville";"2-7298-4950-5";"Clément Borgal";"1610772415";"2000";
"Erprobtes aus der Medienküche. - 1. Englisch";"";"";"1155217152";"2000";
"Übergang von der beruflichen Erstausbildung in dauerhafte Beschäftigung : Dokumentation einer europäischen Konferenz";"3-932428-17-X";"[INBAS, Institut für Berufliche Bildung, Arbeitsmarkt- und Sozialpolitik GmbH]";"1610821858";"2000";
"EUROPASS-Berufsbildung : Anstoß und Projekt im nationalen Reformprozess ; Fachtagung am 2. Juni 1999";"3923638248";"GFPF, Gesellschaft zur Förderung Pädagogischer Forschung; DIPF, Deutsches Institut für Internationale Pädagogische Forschung. Peter Döbrich/Harry Neß (Hrsg.)";"314691545";"2000";
"Unterrichtsmaterialien zum TESLA-Projekt : ein 33 km langer Elektron-Positron-Linearbeschleuniger mit integrierten Röntgenlasern. - 1. Röntgenlaser-Mikroskop";"3761422458";"Heiner Schwarze";"1155251334";"2000";
"Second and foreign language learning through classroom interaction";"080583513X";"ed. by Joan Kelly Hall ...";"308866444";"2000";
"Piéces en un acte";"2-258-05364-1";"Sacha Guitry";"1155312236";"2000";
"Lapin lapin";"2-7427-2658-6";"Coline Serreau";"1155329902";"2000";
"Front de libération nationale de la Corse : de l'ombre à la lumière";"2738489362";"Jean-Pierre Santini";"1610911075";"2000";
"Professeur des écoles. - 1. Entrer à l'IUFM";"2-09-190870-3";"Franc Morandi";"1155330250";"2000";
"Professeur des écoles. - 2. Préparer et passer le concours";"2-09-190871-1";"Franc Morandi";"1155330307";"2000";
"Marivaux, L'île des esclaves";"2-7298-4951-3";"par Cinthia Cichostepski";"1610912616";"2000";
"Aux étudiants, aux enseignants";"2-228-89286-6";"William James";"1610912861";"2000";
"Comptines et petits poèmes avec les 4 - 5 ans";"2091730726";"Pierre Dufayet; Yvette Jenger";"1610913167";"2000";
"Negative Jugendkarrieren und pädagogische Interventionen : abweichende Lebensgeschichten und Lernprozesse im Strafvollzug";"3825382788";"Ingrid Silber";"314686746";"2000";
"Französische Grammatik : Substantive, Verben, Adjektive ; Erklärungen, Beispiele, Übungen";"3786324182";"Dieter Menath";"313339902";"2000";
"Sortie de théâtre : [suivi de quatre pièces courtes]";"2742725547";"";"1155339304";"2000";
"Imperialismus heute : über den gegenwärtigen transnationalen Monopolkapitalismus";"3910080219";"Rafael Cervantes Martínez ... [Aus dem kuban. Span. übers. von Helma Chrenko]";"1610941004";"2000";
"James! : [comédie en 2 actes]";"2-84422-135-1";"Jean-Philippe Decrème";"1610953231";"2000";
"Femmes au travail : de qui se moque-t-on?";"2-85890-478-2";"Céline Pigalle";"1610953797";"2000";
"Was am Ende bleibt : Roman";"3406460607";"Paula Fox. Aus dem Amerikan. übers. von Sylvia Höfer";"161108427X";"2000";
"Rechnen mit Spaß - Die wichtigsten Rechenregeln : 4. Schuljahr; [dieses Werk folgt der reformierten Rechtschreibung und Zeichensetzung]";"3129296735";"";"1611087376";"2000";
"Ich schenk dir meine Wut : die emotionale Kraft unserer Kinder";"3530300632";"Isabelle Filliozat. Aus dem Franz. von Maria Buchwald";"316030155";"2000";
"Schöne Einsichten! : Cartoons für Lernwillige und andere kluge Köpfe";"3451273144";"Renate Alf";"1611172845";"2000";
"¬L'¬ Alsace";"2-7373-2439-4";"Texte: Bernard Vogler. Photos: Hermann Lersch";"1611229480";"2000";
"LePen, Mégret et les Juifs : l'obsession du "complot mondialiste"";"2707130613";"Olivier Guland";"325497354";"2000";
"Steven Spielberg: Schindler's List : ein filmanalytisches Projekt im Englischunterricht als Möglichkeit für fachintegrierten Ethikunterricht";"3932174607";"Werner Schneider";"314718680";"2000";
"Bewegungsförderung im Kindergarten : kommentierte Medienübersicht";"3933191432";"von Renate Zimmer unter Mitarb. von Ursula Licher-Rüschen im Auftr. der BZgA. Bundeszentrale für Gesundheitliche Aufklärung, BZgA";"1155638085";"2000";
"Übersetzungen Deutsch-Englisch : ... Schuljahr. - 6.";"378632011X";"";"1155650557";"2000";
"Worte der Seele";"3451272210";"C. G. Jung. Hrsg. und eingeleitet von Franz Alt";"1611311322";"2000";
"British cultural identities";"0415136989";"ed. by Mike Storry ..";"313272379";"2000";
"Mobile - lesen und schreiben. - 1, Schülerband.";"3141204314";"";"1155780280";"2000";
"Snap! : Unterrichtswerk für Hauptschulen und Schulen mit Bildungsgängen, die zum Hauptschulabschluss führen. - 4, [Hauptbd.].";"3125850401";"";"1155807871";"2000";
"Fallstudienarbeit in der ökonomischen Bildung";"3-86010-590-6";"Bernd O. Weitz";"1611453305";"2000";
"¬Der¬ Begriff Verwahrlosung in der Erziehungswissenschaft : eine begriffsmethodologische Untersuchung zugleich ein Beitrag zur Ersetzung des Begriffes";"";"vorgelegt von Helmut Vent";"1611507685";"2000";
"Zwischen Pathos und Ernüchterung : zur Lage der politischen Bildung in der Schweiz = Entre pathos et désillusion";"3727812958";"hrsg. von Roland Reichenbach ...";"314709118";"2000";
"Naturbildung und Naturakzeptanz";"3826575024";"hrsg. von Gerhard Trommer ... Mit Beitr. von Marc Gerhard ...";"315900636";"2000";
"Lernen und Entwicklung";"3464129071";"von Georg Bubolz";"316034681";"2000";
"Mentale Repräsentation von Vertrauen : eine entwicklungspsychologische Studie bei Kindern";"3631359160";"Luitgard Stumpf";"316032425";"2000";
"Geschichte erforscht und vermittelt : ausgewählte Beiträge zu der Festschrift für Wolfgang Hug 1991";"3877180965";"hrsg. von R. J. Guiton";"312062621";"2000";
"British humour : a bestiary of mad dogs, parrots and jabberwocks";"3-526-50788-0";"ed. and annotated by Peter Ringeisen ...";"1607114550";"2000";
"Förderung der Lerneffizienz beim Einsatz von Unternehmensplanspielen in der kaufmännischen Fortbildung berufstätiger Erwachsener";"3-89744-114-4";"Susanne Hartung";"1156288215";"2000";
"¬Den¬ Abgrund überbrücken : mit persönlicher Geschichte politischen Feindschaften begegnen";"3896840312";"hrsg. von Dan Bar-On in Kooperation mit Susanne Kutz und Dirk Wegner. [Übers. der engl. Beitr.: Friederike Moldenhauer]";"314726969";"2000";
"Im Herzen der See : die letzte Fahrt des Walfängers Essex";"389667093X";"Nathaniel Philbrick. Aus dem Amerikan. übertr. von Andrea Kann und Klaus Fritz";"320093611";"2000";
"¬Die¬ Kunst Albrecht Dürers";"3830701667";"Heinrich Wölfflin. Mit einem Nachw. von Peter Strieder";"323692362";"2000";
"Ces papes qui ont fait l'Église";"284187236X";"Jean-Michel di Falco";"1611960312";"2000";
"¬Die¬ Hosen des Pythagoras : Physik, Gott und die Frauen";"3492229239";"Margaret Wertheim";"317903519";"2000";
"Zur Professionalisierung angehender Fremdsprachenlehrerinnen und -lehrer : berufliches Selbstverständnis und die Rolle einer praxis- und forschungsbezogenen Lehrerbildung";"";"Marita Schocker-Ditfurth";"1156329132";"2000";
"Slkalenhandbuch [Skalenhandbuch] zur Belastung von Schülern und Lehrern : das Erfurter Belastungs-Inventar (EBI)";"3980705641";"Oliver Böhm-Kasper ...";"1612004954";"2000";
"Vorträge und Aufzeichnungen zum "Heilpädagogischen Kurs"";"3772519687";"Karl König. [Zeichn.: Doris Hecht]";"316087084";"2000";
"Convenience Food und Technik im privaten Haushalt : Dokumentation der Jahrestagung 2000, 02. - 03. März 2000 in Gießen";"3826575717";"Fachausschuss Haushaltstechnik. Elmar Schlich (Hrsg.)";"318897326";"2000";
"Astronomie : die Geheimnisse des Universums mit seinen Planeten und Sternen";"3-8067-4516-1";"Text von Kristen Lippincott";"31626704X";"2000";
"Alkoholabhängigkeit und ihre Überwindung : ein Weg aus der Sackgasse";"3-89175-162-1";"Reinhold Aßfalg";"1612194958";"2000";
"Friedrich Nietzsche : das Leben eines Genies im 19. Jahrhundert";"3612267876";"Horst Althaus";"318774615";"2000";
"Erziehungssituationen und Erziehungsprozesse";"3464129063";"von Georg Bubolz";"316883735";"2000";
"Kinderarbeit - Kindergesundheit : eine Analyse der globalen Lage";"3932136616";"Yasmine Fernández-Künsting";"1612249760";"2000";
"Magritta : Selbstmord einer Schülerin";"3896392352";"Peter Dempf";"317924672";"2000";
"Himmel in Stein - das Freiburger Münster : vom Sinn mittelalterlicher Kirchenbauten";"3451234750";"Konrad Kunze. Farbfotografien: Willi Vomstein";"1612308643";"2000";
"Wirtschaft, Politik und Globalisierung";"3124017218";"von Harald Podolsky";"321623746";"2000";
"Toward a feminist developmental psychology";"0415921783";"ed. by Patricia H. Miller ...";"1612448860";"2000";
"Agathe";"3-89565-103-6";"Pascal Teulade; Jean-Charles Sarrazin. [Aus dem Franz. von Markus Weber]";"1612521029";"2000";
"Ich war einmal ein Baum";"3895651044";"Philippe Corentin. Aus dem Franz. von Bernhard und Susanne Koppe";"312703082";"2000";
"¬Die¬ Amsel heisst Selma : Tier-Anagramme von A bis Z";"3907588134";"Geschichte Esther Spanner. Bilder Anna Luchs";"315069872";"2000";
"Hat ein Känguru eine Mutter, so wie du?";"3806743134";"Eric Carle";"311981038";"2000";
"1, 2, 3, wo ist der Papagei?";"3-8067-4309-6";"Quentin Blake. [Aus dem Engl. von Petra Albers]";"161252138X";"2000";
"¬Das¬ weite Land";"3-8067-4308-8";"Oddmund Hagen. Bilder von Akin Düzakin. Aus dem Norweg. von Anja Lewe";"1612521541";"2000";
"Gelb und Rosa";"3806743118";"William Steig. Aus dem Amerikan. von Edmund Jacoby";"1612521592";"2000";
"Drei für uns - ein Grund zum Feiern : RKW 2000; Handreichung; [Materialbuch]";"3746213851";"[erarb. und zsgest. von: Annegret Beck ...]";"1612530230";"2000";
"¬Das¬ ist nicht Amerika! : Essays";"9783813501681";"Gore Vidal. Ausgew. und hrsg. von Willi Winkler. Aus dem Amerikan. übertr. von Ulrich Blumenbach ...";"472829041";"2000";
"Jean Piaget 1968 - 1979 : une décennie de recherches sur les mécanismes de construction cognitive";"2-940238-06-5";"Jean-Jacques Ducret";"1612558607";"2000";
"¬Der¬ Orden unter dem Totenkopf : die Geschichte der SS";"3893505490";"Heinz Hoehne";"1612575579";"2000";
"Voneinander lernen : Hauptreferate des Schweizer Heilpädagogik-Kongresses 1999";"3-908263-97-2";"Alois Bürli (Hrsg.)";"317569120";"2000";
"¬Die¬ Kunst des Erziehens aus dem Erfassen der Menschenwesenheit : sieben Vorträge, gehalten in Torquay vom 12. bis 19. August 1924 mit einer Fragenbeantwortung vom 20. August 1924";"3-7274-6740-1";"Rudolf Steiner";"1612605664";"2000";
"Herausforderung Qualität : Dokumentation der Fachtagung "Qualitätssischerung in der Weiterbildung" vom 2. - 3. November 1999";"3885130963";"Deutsches Institut für Erwachsenenbildung. Felicitas von Küchler/Klaus Meisel (Hrsg.)";"316859184";"2000";
"Maupassant, le clandestin";"2715218710";"Olivier Frébourg";"1612705499";"2000";
"Étude sur Patrick Modiano, La ronde de nuit";"272980000X";"Denis Cima";"1612705901";"2000";
"¬L'¬ opéra grammatical suivi de Le juste mot : 8 - 10 ans";"2725620058";"Anne-Catherine Vivet-Rémy";"1612706215";"2000";
"L'aventure du bilinguisme";"2738490085";"Aleksandra Kroh";"34704462X";"2000";
"Vulkane : wo die Erde Feuer und Asche spuckt";"3405159970";"Bernhard Edmaier (Fotos). Angelika Jung-Hüttl (Text)";"314713417";"2000";
"States and nationalism in Europe since 1945";"0415195578";"Malcolm Anderson";"1612721109";"2000";
"¬Die¬ schaurige Geschichte von Violet, Sunny und Klaus. - 1. ¬Der¬ schlimme Anfang";"3407798156";"Lemony Snicket. Aus d. Engl. von Klaus Weimann";"1156954061";"2000";
"Heute morgen. - 5,1. Rave";"";"Rainald Goetz";"1156957702";"2000";
"¬The¬ retreat of the state : the diffusion of power in the world economy";"0-521-56429-8";"Susan Strange";"362501912";"2000";
"Everyone can write : essays toward a hopeful theory of writing and teaching writing";"0195104153";"Peter Elbow";"1612842771";"2000";
"Snap! : Unterrichtswerk für Hauptschulen und Schulen mit Bildungsgängen, die zum Hauptschulabschluss führen. - 4, Workbook. 1. Aufl";"3125850452";"";"1157099114";"2000";
"¬La¬ princesse aux toilettes : [comédie en 2 actes]";"2-84422-142-4";"Régis Porte";"1612885632";"2000";
"¬Les¬ Présidents de la République Française";"9782745900470";"Stéphane Baumont";"732595487";"2000";
"Questionner le racisme : essai et anthologie";"2-07-041345-4";"Dominique Schnapper; Sylvain Allemand";"161288606X";"2000";
"¬Les¬ banlieues en France : territoires et sociétés";"2200251637";"Jean-Claude Boyer";"320207013";"2000";
"Nous, juifs de France";"2227363177";"[entretiens avec Gilles Bernheim ... et al.; rédigés par] Olivier Guland, Michel Zerbib";"330651668";"2000";
"D'où ça vient? : inventaire étymologique du français quotidien";"2-913588-10-7";"Sylvie H. Brunet";"1612887279";"2000";
"Vichy : 1940 - 1944";"226201650X";"Jean-Pierre Azéma; Olivier Wieviorka";"383011809";"2000";
"Dictionnaire de la science politique et des institutions politiques";"2-247-03902-2";"Guy Hermet ...";"1612887937";"2000";
"Activités de lecture à partir de la littérature de jeunesse";"2011706432";"Christian Poslaniec; Christine Houyel";"330546686";"2000";
"Mémoires d'immigrés : l'héritage maghrébin";"2266088076";"Yamina Benguigui";"1612888305";"2000";
"¬Les¬ enfants du XXe siècle";"2-7003-1281-3";"Anne Cauquetoux & Patrick Facon";"1612888429";"2000";
"Stürme, Fluten & Lawinen : Wetterkatastrophen";"3806745102";"Text von Jack Challoner. [Aus dem Engl. von Margot Wilhelmi. Red. Bearb. der dt.-sprachigen Ausg. von Eva und Hans-Jürgen Schweikart]";"316266345";"2000";
"Key skills: teaching and learning for transfer";"1861740778";"Ifan Shepherd";"1612893341";"2000";
"Improving students' communication skills";"1-86174-079-4";"Sue Burkill, Derry Corey and Mick Healey";"1612893406";"2000";
"Improving students' numeracy skills";"1-86174-080-8";"Clive Agnew";"1612893414";"2000";
"Improving students' team and personal skills";"1-86174-081-6";"Michael Bradford";"1612893465";"2000";
"Improving students' problem-solving and thinking skills";"1-86174-082-4";"Vince Gardiner and Karel Hughes";"1612893481";"2000";
"Improving students' skills through work-based learning";"1-86174-083-2";"Brian Chalkley";"1612893511";"2000";
"¬Geography¬ university : making the most of your Geography degree and courses";"1-86174-084-0";"Gordon Clark and Terry Wareham";"1612893538";"2000";
"Internet - Rundfunk : Anwendungen und Infrastruktur zur Verbreitung von Rundfunkproduktionen im Internet ; eine Studie";"3891582749";"von Klaus Meißner, Alexander Lorz und Reinhart Schmidt. Im Auftr. der Sächsischen Landesanstalt für Privaten Rundfunk und Neue Medien (SLM)";"318093146";"2000";
"QED : die seltsame Theorie des Lichts und der Materie";"3492215629";"Richard P. Feynman. Aus d. Amerikan. von Siglinde Summerer u. Gerda Kurz";"161302391X";"2000";
"¬Das¬ Zauberalphabet. - Ubungen.";"3122502127";"";"1157234240";"2000";
"Etudes françaises - Ensemble : für den schulischen Französischunterricht. - 2, Lehrerbuch.";"3125231531";"";"1157249795";"2000";
"Inequality, globalization, and world politics";"0198295669";"ed. by Andrew Hurrell ...";"319653250";"2000";
"Rechen-Rätsel für das ... Schuljahr. - 2, H. 2. Schuljahr 2";"3785537808";"";"1157299261";"2000";
"Andy Warhol, series and singles : [diese Publikation erscheint anlässlich der Ausstellung Andy Warhol - Series and Singles], Ausstellung Riehen/Basel, 17.9. - 31.12.2000, Fondation Beyeler";"3770155475";"mit Beitr. von Ernst Beyeler ...";"161312337X";"2000";
"¬Das¬ linkshändige Kind in der Grundschule";"3403025322";"[Autorin: Johanna Barbara Sattler]. Staatsinstitut für Schulpädagogik und Bildungsforschung, München. [Erarb. im Auftr. des Bayerischen Staatsministeriums für Unterricht, Kultus, Wissenschaft und Kunst]";"316276081";"2000";
"Sie bewegten die Welt : Lebensbilder unserer Zeit";"3491795346";"Josef Quadflieg";"315896523";"2000";
"Lernbedürfnisse von AsylbewerberInnen und konkrete Strategien : am Beispiel der Gemeinschaftsunterkunft in Offenburg";"";"Andrea Seguin Sierra";"1157375162";"2000";
"Kinder und Werbung : Analyse und Erprobung eines medienpädagogischen Konzepts für die Familienerziehung";"";"Christiane Muth";"1157375235";"2000";
"Kooperation im Bereich der Pädagogik : neue Wege";"";"Friederike Hornung";"1157375758";"2000";
"¬Der¬ philosophiegeschichtliche Rückgang in die Herkunft Goethescher Begriffe als möglicher Zugang zu einem neuen Naturverständnis";"";"Bettina Fritschmann";"115737624X";"2000";
"¬Die¬ Bedeutung des Chancengleichheitsbegriffes für den Zusammenhang zwischen Erwachsenenbildung und sozialer Ungleichheit";"";"Michael Busch";"1157376444";"2000";
"Beitrag der Logiken zu einer didaktischen Epistemologie";"";"Wilhelm Adt";"1157376509";"2000";
"Blinde und Internet : ein pädagogisches Konzept für den Umgang mit dem neuen Medium am Beispiel eines Internet-Kurses für Blinde und Sehbehinderte";"";"Ute Gössl";"1157377092";"2000";
"Schulkultur als Leitbild pädagogischer Reformen";"";"Hansjörg Droll";"1157379648";"2000";
"¬Die¬ "Lernwerkstatt 50plus : ein innovatives Konzept selbstorganisierter Projektarbeit für Menschen im dritten Lebensalter";"";"Kathrin Baur";"1157379826";"2000";
"¬Die¬ pädagogischen Implikationen der Ausbildereignungsprüfung unter dem Gesichtspunkt der Subjektiven Didaktik";"";"Ariane Michael";"1157379990";"2000";
"Psychodrama für Führungskräfte";"";"Dorothea Braschoß";"1157380069";"2000";
"DaF-Kurs kommunikativ und interkulturell : Konzeption auf Grundlage des Lehrwerks Themen Neu für die Dominikanische Republik";"";"Harry Holderried";"115738014X";"2000";
"Geschwister Behinderter";"";"Petra Christine Wiedmaier";"1157380298";"2000";
"Wahrnehmung und Lernprozesse bei Erwachsenen : untersucht anhand des Erlernens von Rhythmen in Gruppen";"";"Rolf Behringer";"1157380360";"2000";
"Abwarten gilt nicht mehr : Anforderungen an Erwachsenenbildung in Zuwanderungsgesellschaften";"";"Markus Breuer";"1157380409";"2000";
"¬Der¬ Konflikt mit der Lebenwirklichkeit macht den Menschen krank : inwiefern kann eine pädagogisch-psychologisch orientierte Seelsorge Lebenshilfe bieten";"";"Elke Köhl";"1157380476";"2000";
"Sprachenlernen und Spracheinstellungen von Erwachsenen";"";"Andrea Pfeil";"1157380646";"2000";
"Musiktherapeutische Ansätze in der Erwachsenenbildung mit Senioren";"";"Judith Booth";"1157380662";"2000";
"Weiterbildung für die Weiterbildung : ein Konzept für die Fortbildung von VHS-DozentInnen lernt laufen";"";"Barbara Lay-Reineck";"1157380727";"2000";
"Computer-Schulungsmaßnahmen im Umbruch : vom EDV-Trainer zum beratenden Lernorganisator";"";"Andreas F. Schulz";"1157380913";"2000";
"Didaktisches Konzept zur Entwicklung von Medienkompetenz";"";"Manon Werberger";"1157380972";"2000";
""Öffne dem Notleidenden die Hand ..." : Wurzeln der Sozialen Arbeit in vorchristlicher Zeit und im antiken Judentum";"";"Brigitte Schupp";"1157381030";"2000";
"¬La¬ France du XIXe siècle : 1814 - 1914";"9782757840009";"Francis Démier";"339838167";"2000";
"Makarenkos "Pädagogisches Poem" : eine Erziehungspraxis voller "Begegnungen" - eine Chance der "Begegnung" für uns?";"";"Isabel Schumacher";"1157381162";"2000";
"Alphabetisierung ausländischer Frauen";"";"Annekatrin Büch";"1157382584";"2000";
"Zum Bedarf an außerfamiliärer Betreuung für Grundschulkinder : eine quantitative und qualitative Untersuchung im Stadtteil Bürkle/Bleiche";"";"Steffen Marstaller";"115738272X";"2000";
"Jugend, Sinn und Suizid : Auswege durch musikpädagogische Jugendarbeit";"";"Jens Schmid";"1157382800";"2000";
"¬Die¬ Bedeutung der Sinnfrage für drogenabhängige Menschen und deren Therapie";"";"Dorothée Keller";"115738286X";"2000";
"Zur Situation von ausländischen Flüchtlingen unter besonderer Berücksichtigung psychischer Traumatisierung";"";"Anja Bochtler";"1157382894";"2000";
"Soziale Ungleichheit und Bildung : eine Vergleichsstudie zur Wahrnehmung von sozialen Milieus in den USA und Deutschland";"";"Saskia Turner";"1157406106";"2000";
"Blackbox : unerwartete Systemfehler";"3462029576";"Benjamin v. Stuckrad-Barre";"1613248490";"2000";
"Berufliche und familiäre Zielstrukturen : ein Anwendungsbeispiel zum Meta-Modell der selektiven Optimierung mit Kompensation";"3893258671";"Bettina S. Wiese";"317926535";"2000";
