Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
La muerte venía los lunes : autobiografía de un joven perseguido por negarse a alistarse en el ejército nazi/ Horst Schmidt : editado por Hans Hesse : traducción: Carlos Villarrubia	Der Tod kam immer montags	-	Gramma	Copenhague	2020	-	9788791953514; 8791953510	1a edición en español	(Broschur)	159 Seiten	18 cm	-	-	1. oplag, 2020	-	-	Band	21,A51	355; 230	Zeugen Jehovas; Kriegsdienstverweigerung; Politische Verfolgung	355.224092; 289.92092	https://d-nb.info/1219932736/04	-	-	-
Stalin's Soviet monastery : a new interpretation of Russian politics	-	Jim Curtis	Peter Lang	New York; Bern; Berlin; Vienna	2020	-	9781433190049; 1433190044	-	(Broschur : EUR 50.95 (DE), EUR 52.20 (AT), CHF 59.00 (freier Preis))	xv, 250 Seiten	23 cm, 382 g	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als: Druck-Ausgabe	-	Band	21,A51; 21,N23	940; 300; 230	Stalinismus; Politik; Kultur; Volksfrömmigkeit; Gesellschaft; Stalin, Josif Vissarionovič; Orthodoxe Kirche; Priesterseminar; Einfluss	947.0842	https://d-nb.info/1234671719/04	http://deposit.dnb.de/cgi-bin/dokserv?id=e8b771f7e8764eac99e6e55725662dd6&prov=M&dok_var=1&dok_ext=htm	-	-
Die schönsten Geschichten : Erzählungen aus dem Leben des Propheten Muhammad (s)	Aḥsan al-qiṣaṣ	Autorin: Nabiha Muhaydali ; Illustratorin: Lujayna al Asil	Astrolab Verlag	Düsseldorf	2021	-	9783948139025	-	(Festeinband)	62 Seiten	31 cm	-	-	-	-	-	Band	21,A51	K; 290	-	-	-	-	-	-
Die rechtliche Verfassung von Religionsgemeinschaften : eine Untersuchung am Beispiel der Bahai	-	Emanuel V. Towfigh	Mohr Siebeck	Tübingen	2021	-	9783161609602; 3161609603	2., um ein Vorwort ergänzte, im übrigen unveränderte Auflage	(Broschur : circa EUR 59.00 (DE))	XIX, 269 Seiten	24 cm	-	Jus ecclesiasticum ; Band 80	-	Erscheint auch als: Online-Ausgabe	Dissertation; Westfälische Wilhelms-Universität Münster2005	Band	21,A51; 21,N27	340; 290	Staatskirchenrecht; Religionsgemeinschaft; Organisationsrecht; Bahaismus	344.43096	https://d-nb.info/1236309863/04	http://deposit.dnb.de/cgi-bin/dokserv?id=ed7dc0e40fee4cfc9cc4be17fe5bebc2&prov=M&dok_var=1&dok_ext=htm; http://deposit.dnb.de/cgi-bin/dokserv?id=ed7dc0e40fee4cfc9cc4be17fe5bebc2&prov=M&dok_var=2&dok_ext=htm	-	-
Der Kölner Dom und "die Juden" : ein thematischer Rundgang	-	mit Texten von Matthias Deml, Peter Füssenich, Klaus Hardering, Joachim Oepen, Harald Schlüter ; hrsg. von Metropolitankapitel der Hohen Domkirche Köln	Kölner Domverlag	[Köln]	2021	-	9783922442998; 3922442994	-	(Broschur : EUR 4.50 (DE), EUR 4.70 (AT))	40 ungezählte Seiten	21 cm	-	-	-	-	-	Band	21,A51; 21,N25	720; 700; 290	-	-	-	-	-	-
10 Sterne : die Geschichte von zehn Synagogen auf dem Gebiet der Tschechischen Republik	10 hvězd	Jan Žáček ; Fotografie Föderation der jüdischen Gemeinden er Tschechischen Republik und Arch. Jan Soukup ; Übersetzung Silke Klein	Olympia	Velké Přílepy	2018	-	9788073765170; 8073765179	Erste Ausgabe	(Festeinband)	151 Seiten	22 cm	-	-	Verantwortlichkeitsangabe sollte lauten: Fotografie Föderation der jüdischen Gemeinden der Tschechischen Republik und Arch. Jan Soukup	-	-	Band	21,A51	720; 290	Synagoge	726.3094371022	https://d-nb.info/1171011539/04	-	-	-
Die radikale Rechte in Deutschland 1871-1945 : eine politische Ideengeschichte	-	Stefan Breuer	Reclam	Ditzingen	2021	-	9783150187760	Aktualisierte Ausgabe	(Broschur : EUR 8.00)	280 Seiten	15 cm	-	Reclams Universal-Bibliothek ; Nr. 18776	-	-	-	Band	21,A51	320; 943	Die Rechte; Nationalismus	320.533094309041	https://d-nb.info/1246885409/04	-	-	-
Rechtsextremismus	-	Fachautor: Stefan Breuer ist wiss. Mitarbeiter an der Kath. Univ. Eichstätt; Rico Behrens ist Prof. für Pol. Bildung an der Kath. Univ. Eichstätt-Ingoldstadt	Wochenschau Verlag Dr. Kurt Debus GmbH	Frankfurt am Main	2021	-	-	-	-	34 Seiten	28 cm	1 Begleitheft (M7 Seiten)	Wochenschau ; 72. Jahrgang, Nr. 5 (Oktober 2021)	-	-	-	Band	21,A51	320	Rechtsradikalismus; Politischer Unterricht; Sekundarstufe 1	320.5330712	https://d-nb.info/1246553511/04	-	-	-
What is at stake now : my appeal for peace and freedom	Was jetzt auf dem Spiel steht	Mikhail Gorbachev ; translated by Jessica Spengler	Polity	Cambridge, UK	2021	-	9781509543229	-	(Broschur)	VIII, 120 Seiten	20 cm	-	-	-	-	-	Band	21,A51	320	Demokratie; Krise; Populismus; Globalisierung; Friedenssicherung	327.1	https://d-nb.info/1241693447/04	-	-	-
Bis zum letzten Fackelzug : mein wahres Leben unterm Zeichen der Sonne und was wir daraus lernen können	-	von Feliks W. Berger	druck-zuck	Halle (Saale)	2021	-	9783949032035	Zweite korrigierte und ergänzte Auflage	(Broschur)	XI, 596 Seiten	21 cm	-	-	-	-	-	Band	21,A51	320; 943; 360	-	-	https://d-nb.info/1240921314/04	-	-	-
Das gequälte Land Afghanistan wird seinen Frieden finden in der Revolution	-	Arbeiterbund für den Wiederaufbau der KPD ; Jugendsekretariat des ZK	Verlag Das Freie Buch GmbH	München	2021	-	9783942876056; 3942876051	-	(Broschur : EUR 6.00 (DE), EUR 6.20 (AT))	59 Seiten	21 cm, 80 g	-	-	-	-	-	Band	21,A51; 21,N44	320	-	-	https://d-nb.info/1244420476/04	-	-	-
Carl Kostka und die Deutschdemokratische Freiheitspartei in der Tschechoslowakei der Zeit vor dem Zweiten Weltkrieg	-	Susanne Keller-Giger	Verlagsbuchhandlung Sabat	Kulmbach	2021	-	9783943506969; 3943506967	1. Auflage	(Festeinband : EUR 24.95 (DE), EUR 25.70 (AT), CHF 38.90 (freier Preis))	XVIII, 277 Seiten	25 cm, 755 g	-	-	-	-	-	Band	21,A51; 21,N41	320	Kostka, Edmund; Deutschdemokratische Freiheitspartei	324.2437092	https://d-nb.info/1242740511/04	-	-	-
Histories of scale: Java, the Indies and Asia in the Imperial Age, 1820-1945	-	Vincent Houben	Galda Verlag	Glienicke	2021	-	9783962031893; 3962031898	-	(Broschur : EUR 59.00 (DE), EUR 60.70 (AT))	302 Seiten	24 cm	-	Insights from Southeast Asia ; volume 5	-	-	-	Band	21,A51; 21,N36	320; 950	Kolonialismus	325.3598; 959.820223	https://d-nb.info/1240327331/04	-	-	-
Grenzgänger : sechs Jahre Leben für die Politik : Erinnerungen eines Düsseldorfer Oberbürgermeisters	-	Thomas Geisel	Droste Verlag	Düsseldorf	2021	-	9783770023455; 3770023455	-	(Gewebe : EUR 22.00 (DE), EUR 22.70 (AT))	360 Seiten	21 cm	-	-	-	-	-	Band	21,A51; 21,N35	943; 320	Geisel, Thomas	943.55340883092	https://d-nb.info/1239843747/04	-	-	-
Romanian diplomacy in the 20th century : biographies, institutional pathways, international challenges	-	Adrian Viţalary, Ionuţ Nistor, Adrian-Bogdan Ceobanu (eds.)	Peter Lang	Berlin; Bern; Wien	2021	-	9783631846865; 363184686X	-	(Festeinband : EUR 79.95 (DE), EUR 82.20 (AT), CHF 93.00 (freier Preis))	439 Seiten	22 cm, 633 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N32	320; 940	Diplomatie; Diplomatische Beziehungen	327.49800904	https://d-nb.info/1238093515/04	http://deposit.dnb.de/cgi-bin/dokserv?id=b82b4813767840f88ad1620b16324b54&prov=M&dok_var=1&dok_ext=htm	-	-
Strategische Resilienz im Spannungsfeld zwischen Interdependenz und Autarkie - unter besonderer Berücksichtigung der Beitragsleistung des Militärs in demokratischen Rechtsstaaten : das institutsgemeinsame Forschungsprojekt 2020/21 der Landesverteidigungsakademie Wien	-	herausgegeben von Wolfgang Peischel	Carola Hartmann Miles-Verlag	Berlin	2021	-	9783967760255; 3967760251	-	(Festeinband : EUR 39.80 (DE), EUR 41.00 (AT))	532 Seiten	23 cm	-	-	-	-	-	Band	21,A51; 21,N28	320; 355	Rechtsstaat; Demokratie; Sicherheitspolitik; Militärpolitik; Resilienz; Strategie; Interdependenz; Autarkie	327.1109436; 355.0335436	https://d-nb.info/1236587146/04	-	-	-
Unterwandert : wie Rechte den Rechtsstaat okkupieren	-	Jörg Köpke	Das Neue Berlin	Berlin	2021	-	9783360028006; 3360028007	1. Auflage	(Broschur : circa EUR 15.00 (DE), circa EUR 15.50 (AT))	187 Seiten	21 cm	-	-	Zum Teil spiegelverkehrte Buchstaben im Titel auf Titelseite und Umschlag	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N19	320; 360	Rechtsradikalismus; Rechtsstaatsgefährdung	320.533094317	https://d-nb.info/1233030043/04	http://deposit.dnb.de/cgi-bin/dokserv?id=feaa55ab5d1b4f98986098b7c2482a5c&prov=M&dok_var=1&dok_ext=htm	-	-
Gerechter Frieden : im Spannungsfeld zwischen ziviler Konfliktbearbeitung und rechtserhaltender Gewalt	-	Ines-Jacqueline Werkner	Springer VS	Wiesbaden, Germany	2021	-	9783658343651; 3658343656	-	(Broschur : EUR 14.99 (DE), EUR 15.41 (AT), CHF 17.00 (freier Preis), EUR 14.01)	VII, 35 Seiten	21 cm, 80 g	-	Essentials	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N19	320	-	-	https://d-nb.info/1232943452/04	http://deposit.dnb.de/cgi-bin/dokserv?id=84ace0839aff45f9854c9195750b7d6a&prov=M&dok_var=1&dok_ext=htm	-	-
Die Ibiza-Affäre : Innenansichten eines Skandals, der Österreich erschütterte	-	Bastian Obermayer, Frederik Obermaier	Kiepenheuer & Witsch	Köln	2021	-	9783462002294; 3462002295	1. Auflage	(Broschur : EUR 11.00 (DE), EUR 11.40 (AT))	278 Seiten	19 cm, 256 g	-	KiWi ; 1811	-	Erscheint auch als: Druck-Ausgabe; Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N19	320	-	-	https://d-nb.info/1232938211/04	http://deposit.dnb.de/cgi-bin/dokserv?id=645e8ad43bb948f592bcc5e91516b637&prov=M&dok_var=1&dok_ext=htm	-	-
Realismus des Kapitals : marxistische Literaturtheorie im Zeitalter des globalen Kapitalismus	Literatur als Arbeit	Sebastian Schuller	Brill, Wilhelm Fink	Paderborn, Deutschland	2021	-	9783770566440; 3770566440	-	(Festeinband : EUR 159.00 (DE), EUR 163.50 (AT))	VIII, 419 Seiten	25 cm, 850 g	-	Literatur und Ökonomie ; Band 5	-	Erscheint auch als: Online-Ausgabe	Dissertation; Ludwig-Maximilians-Universität München2020	Band	21,A51; 21,N19	800; 330; 320	Marxismus; Literaturtheorie; Globalisierung; Kapitalismus	801	https://d-nb.info/1232743836/04	http://deposit.dnb.de/cgi-bin/dokserv?id=f0ae300b63ce461ba2eca67145124ae8&prov=M&dok_var=1&dok_ext=htm	-	-
Demokratie braucht Rückgrat : wie wir unsere offene Gesellschaft verteidigen	-	Eric Hattke, Michael Kraske (Hrsg.)	Ullstein	Berlin	2021	-	9783548065496; 354806549X	Originalausgabe im Ullstein Taschenbuch, 1. Auflage	(Festeinband : EUR 12.00 (DE), EUR 12.40 (AT), CHF 13.90 (freier Preis))	223 Seiten	20 cm, 328 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N18	320; 300	Politische Kultur; Offene Gesellschaft; Wertorientierung; Demokratie	320.943	https://d-nb.info/1232512079/04	http://deposit.dnb.de/cgi-bin/dokserv?id=b278a6b0c2724bcf8b25d5282d295366&prov=M&dok_var=1&dok_ext=htm	-	-
Stay with the trouble : politische Interventionen im Arbeitsfeld der Offenen Kinder- und Jugendarbeit	-	Nils Schuhmacher, Moritz Schwerthelm, Gillian Zimmermann ; Bundesarbeitsgemeinschaft Offene Kinder- und Jugendeinrichtungen e.V. (BAG OKJE)	tbt-verlag	[Tübingen]	2021	-	9783925882500; 3925882502	-	(Broschur : EUR 6.00 (DE), EUR 6.00 (AT), CHF 6.00 (freier Preis))	80 Seiten	29 cm, 268 g	-	-	-	-	-	Band	21,A51; 21,N14	360; 320	Jugendhilfe; Politik	362.7	https://d-nb.info/1230489088/04	-	-	-
Ausschussöffentlichkeit im Deutschen Bundestag	-	von Arndt Alexander Schmidt	Duncker & Humblot	Berlin	2021	-	9783428182466; 3428182464	-	(Broschur : EUR 119.90 (DE), EUR 123.30 (AT))	526 Seiten	24 cm, 780 g	-	Beiträge zum Parlamentsrecht ; Band 82	-	Erscheint auch als: Online-Ausgabe	Dissertation; Gottfried Wilhelm Leibniz Universität Hannover2020	Band	21,A51; 21,N11	340; 320	Parlamentsausschuss; Sitzung; Öffentlichkeit	342.4305	https://d-nb.info/1229218416/04	-	-	-
Wir haben keine Wahl : ein Manifest gegen das Aufgeben	-	Franziska Heinisch	Blessing	München	2021	-	9783896677112; 389667711X	1. Auflage	(Broschur : EUR 14.00 (DE), EUR 14.40 (AT), CHF 20.00, CHF 20.50 (freier Preis))	287 Seiten	21 cm, 380 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 20,N46	360; 300; 320	Umweltkrise; Kapitalismus; Gesellschaft; Umweltschutz; Soziale Gerechtigkeit; Wirtschaftsentwicklung; Strukturwandel; Demokratie; Politisches Engagement; Sozioökonomischer Wandel	363.7	https://d-nb.info/122071576X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=90bc6ece5c234d71ad8c7fbeb1e2d603&prov=M&dok_var=1&dok_ext=htm	-	-
Re-Cording Lives : Governing Asylum in Switzerland and the Need to Resolve	-	Ephraim Pörtner	transcript	Bielefeld	2021	-	9783837653496; 3837653498	-	(Broschur : circa EUR 50.00 (DE) (freier Preis), circa EUR 50.00 (AT) (freier Preis), circa CHF 61.00 (freier Preis))	452 Seiten	23 cm, 699 g	-	Sozial- und Kulturgeographie ; volume 41	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Zürich2018	Band	21,A51; 20,N19	320; 340	Asylpolitik; Asylverfahren	325.494	https://d-nb.info/1209364867/04	-	-	-
Europas Kern : eine Strategie für die EU von morgen	-	Winfried Veit	Verlag J.H.W. Dietz Nachf. GmbH	Bonn	2020	-	9783801205713	-	(Broschur)	158 Seiten	21 cm	-	Dietz Standpunkte	-	-	-	Band	21,A51; 19,N51	320	Europäische Union; Mitgliedsstaaten; Reform; Geopolitik; Zukunft	320.94	https://d-nb.info/1201429560/04	http://deposit.dnb.de/cgi-bin/dokserv?id=0f8b459d6f464dee84bf123565ff999c&prov=M&dok_var=1&dok_ext=htm	-	-
Krossade illusioner : fallet Hermann Kappner och Nazistisk infiltration i Sverige 1933-1945	-	Birgitta Almgren	Carlssons	Stockholm	2019	-	9789173319638; 9173319635	-	(Festeinband : EUR 35.50)	439, B32 Seiten	25 cm	-	-	-	-	-	Band	21,A51	320; 940; 370	Kappner, Hermann; Spionage; Infiltration; Nationalsozialismus	320.5330948509043; 327.1243048509043	https://d-nb.info/1199388688/04	-	-	-
Landesrecht Hessen : Studienbuch	-	Prof. Dr. Georg Hermes, Prof. Dr. Franz Reimer (Hrsg.) ; Prof. Dr. Georg Hermes (Goethe-Universität Frankfurt a.M.), Prof. Dr. Franz Reimer (Justus-Liebig-Universität Gießen) [und 5 weitere]	Nomos	Baden-Baden	2022	-	9783848769599; 384876959X	10. Auflage	(Broschur : circa EUR 28.90 (DE))	436 Seiten	21 cm, 553 g	-	NomosStudienbuch	-	-	-	Band	21,A51; 21,N26	340	Landesrecht	342.4341042	https://d-nb.info/1236110749/04	http://deposit.dnb.de/cgi-bin/dokserv?id=e558e35b9c8544668db237c41e86875f&prov=M&dok_var=1&dok_ext=htm	-	-
Europarecht : in Fragen und Antworten	-	Prof. em. Dr. Roland Bieber, Prof. Dr. Astrid Epiney, Marcel Haag, Prof. Dr. Markus Kotzur	Nomos; Helbing Lichtenhahn Verlag	Baden-Baden; Basek	2022	-	9783848772186; 3848772183; 9783719045227	6. Auflage	Nomos : (Broschur : circa EUR 24.90 (DE)); Helbing Lichtenhahn Verlag	239 Seiten	23 cm, 349 g	-	Nomos Studium	-	-	-	Band	21,A51; 21,N25	340	Europäische Union; Recht	341.2422076	https://d-nb.info/1235791467/04	http://deposit.dnb.de/cgi-bin/dokserv?id=2c0e9be06bb6471086b483b76664bd1d&prov=M&dok_var=1&dok_ext=htm	-	-
Privatinsolvenzrecht : Kommentar	Privatinsolvenzrecht	herausgegeben von Dr. Andreas Schmidt (Insolvenzrichter, AG Hamburg)	Carl Heymanns Verlag	Hürth	2022	-	9783452296948; 3452296946	2. Auflage	(Festeinband : EUR 149.00 (DE), EUR 153.20 (AT))	XXXVI, 1670 Seiten	22 cm, 1798 g	-	Heymanns Insolvenzrecht	-	-	-	Band	21,A51; 20,N51	340	Deutschland	346.43078	https://d-nb.info/122291851X/04	-	-	-
Beratungshilfe mit Prozess- und Verfahrenskostenhilfe : ein Handbuch und Nachschlagewerk für die Praxis	Beratungs- und Prozess-, Verfahrenskostenhilfe	herausgegeben von Stefan Lissner (Diplom-Rechtspfleger AG Konstanz, stellvertretender Landesvorsitzender Bund Deutscher Rechtspfleger Landesverband Baden-Württemberg e.V., Lehrbeauftragter an der Allensbach Hochschule Konstanz, Referent an den Sparkassenakademien Baden-Württemberg), Joachim Dietrich (Diplom-Rechtspfleger, Ministerium der Justiz, Saarbrücken) ; weitere Autoren: Dr. Karsten Schmidt (Richter am Bundesgerichtshof, Karlsruhe)	Verlag W. Kohlhammer	Stuttgart	2022	-	9783170397262; 3170397265	4., überarbeitete Auflage	(Broschur : circa EUR 88.00 (DE))	XXVI, 495 Seiten	24 cm, 769 g	-	Rechtswissenschaft und Verwaltung. Handbücher	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 20,N50	340	Rechtshilfe	347.43017	https://d-nb.info/1222539195/04	-	-	-
Klausuren-Training	-	Thomas Stobbe	SteuernRep Verlag	München	2021	-	-	2. Auflage	-	-	22 cm	-	-	-	-	-	Band	21,A51	340; 330	Steuerrecht	-	-	-	-	-
Repetitorien-Training	-	Thomas Stobbe	SteuernRep Verlag	München	2021	-	-	2. Auflage	-	-	22 cm	-	-	-	-	-	Band	21,A51	340; 330	Steuerrecht	-	-	-	-	-
Praxishandbuch IDD : Versicherungsvertrieb und Versicherungsvermittlung neu : das neue Recht für Versicherungsmakler, Versicherungsagenten, Vermögensberater, Banken, Vermittlung in Nebentätigkeit sowie für den Direktvertrieb durch Versicherungsunternehmen	-	Trojer/Ramharter (Hrsg.), Eltner/Gottschamel/Moth/Novotny/Pollauf/Strahser	Kitzler Verlag; Finanzverlag	Wien	2021	-	-	Gänzliche Neuauflage	-	Bände (Loseblattsammlung)	25 cm	-	-	Identifizierung der Ressource nach: 3. Teil-Lieferung (10/2021)	-	-	Band	21,A51	340; 360	Versicherungsvermittlung; Versicherungsrecht	346.436086	-	-	-	-
Praxishandbuch IDD : Versicherungsvertrieb und Versicherungsvermittlung neu : das neue Recht für Versicherungsmakler, Versicherungsagenten, Vermögensberater, Banken, Vermittlung in Nebentätigkeit sowie für den Direktvertrieb durch Versicherungsunternehmen	-	Trojer/Ramharter (Hrsg.), Eltner/Gottschamel/Moth/Novotny/Pollauf/Strahser	Kitzler Verlag; Finanzverlag	Wien	2021	-	-	Gänzliche Neuauflage	-	Bände (Loseblattsammlung)	25 cm	-	-	Identifizierung der Ressource nach: 3. Teil-Lieferung (10/2021)	-	-	Band	21,A51	340; 360	Versicherungsvermittlung; Versicherungsrecht	346.436086	-	-	-	-
Recht in Ausbildung und Praxis bei den Gerichten und Staatsanwaltschaften ; Nr. 9 : Materielles Strafrecht	-	von Silvia Eger, Diplom-Rechtspflegerin (FH), hauptamtliche Lehrkraft an der Bayerischen Justizakademie	Juristischer Verlag Pegnitz GmbH	Pegnitz	2021	-	9783948836122	Stand: November 2021	(Broschur)	213 Seiten	25 cm	-	-	"20. Auflage" - Umschlag	-	-	Band	21,A51	340	Strafrecht	345.430076	https://d-nb.info/1246475758/04	-	-	-
Vorsorge-Ordner : heute schon an morgen denken	-	-	Oncken Verlag	Kassel	2021	-	9783879390182; 3879390185	-	(in Ordner: EUR 28.95 (DE), EUR 29.80 (AT), CHF 35.40 (freier Preis))	37, 35 Seiten, 29 ungezählte Blätter	32 cm	1 gefaltetes Blatt (4 ungezählte Seiten), 1 Organspendeausweis	-	-	-	-	Band	21,A51	340	Krankheit; Todesfall; Vorsorge	344.430412; 346.43052	https://d-nb.info/1246271605/04	-	-	-
ZGB, OR, SchKG, BV und weitere Erlasse : kaufmännische Ausgabe	ZGB, OR(Kaufmännische Ausgabe)	[Schweiz] ; mit Anmerkungen von Ernst J. Schneiter	Orell Füssli Verlag	Zürich	2021	-	9783280071885	18. Auflage, Ausgabe 2021/22	(Broschur)	886 Seiten	21 cm	-	-	Stand der Gesetzgebung: 1. Januar 2021	-	-	Band	21,A51	340	Schweiz; Recht; Kaufmännische Berufsbildung	346.49400263; 346.494020263	https://d-nb.info/1245871749/04	-	-	-
Immobilienfinanzierung : Erwerb einer Gebrauchtimmobilie	-	Dirk Rosskopf, Florian Kull	Deutscher Genossenschafts-Verlag eG	Wiesbaden	2021	-	-	1. Auflage	-	93 Seiten	21 cm	-	-	-	-	-	Band	21,A51	330; 340	Hauskauf; Wohnungskauf; Wohnungsfinanzierung	332.7220943	https://d-nb.info/1245390252/04	-	-	-
Parlamentsrecht und Parlamentspraxis der Schweizerischen Bundesversammlung : Kommentar zum Parlamentsgesetz (ParlG) vom 13. Dezember 2002 : Aktualisierung 2021	Parlamentsrecht und Parlamentspraxis der Schweizerischen Bundesversammlung	herausgegeben von Martin Graf, ehem. Sekretär der Staatspolitischen Kommissionen der Eidgenössischen Räte, Andrea Caroni, Ständerat, Rechtsanwalt, Lehrbeauftragter für öffentliches Recht an der Universität St. Gallen	Verlag parliaments.ch	Basel	2021	-	9783952521519	-	(Broschur)	191 Seiten	24 cm	-	-	-	-	-	Band	21,A51	340	Schweiz	342.49405	https://d-nb.info/1245345648/04	-	-	-
Datenschutz in der Kita : rechtliche Rahmenbedingungen mit Fallbeispielen	-	Dr. Michael Els	Carl Link	Hürth	2021	-	-	1. Auflage, Sonderausgabe	-	83 Seiten	21 cm	-	Kita-Recht	-	-	-	Band	21,A51	340; 370	Kindertagesstätte; Datenschutz	344.43032712	https://d-nb.info/1239830025/04	-	-	-
